Timestamp,Review,testing,processed
2025/02/10 8:09:03 pm GMT+8,"Academically, UNITEN provides courses that focus more on technology and future development. This positively impacts the current national agenda, which aims to achieve sustainable economic growth and technological advancement. UNITEN has many experienced lecturers who are actively working in the industry, helping to develop students’ skills and prepare them for the workforce.  ","['academically', 'united', 'provide', 'course', 'focus', 'technology', 'future', 'development', 'positively', 'impact', 'current', 'national', 'agenda', 'aim', 'achieve', 'sustainable', 'economic', 'growth', 'technological', 'advancement', 'unite', 'many', 'experienced', 'lecturer', 'actively', 'work', 'industry', 'help', 'develop', 'student', '’', 'skill', 'prepare', 'workforce']","['academically', 'united', 'provide', 'course', 'focus', 'technology', 'future', 'development', 'positively', 'impact', 'current', 'national', 'agenda', 'aim', 'achieve', 'sustainable', 'economic', 'growth', 'technological', 'advancement', 'unite', 'many', 'experienced', 'lecturer', 'actively', 'work', 'industry', 'help', 'develop', 'student', '’', 'skill', 'prepare', 'workforce']"
2025/02/10 8:10:42 pm GMT+8,for an energy university Im impressed with the ev bus implemented but damn the wifi sucks,"['energy', 'university', 'im', 'impressed', 'ev', 'bus', 'implement', 'damn', 'wifi', 'suck']","['energy', 'university', 'im', 'impressed', 'ev', 'bus', 'implement', 'damn', 'wifi', 'suck']"
2025/02/10 8:10:47 pm GMT+8,Uniten has mostly very good lecturers and has sufficient facilities. But accomodation for students are lacking in terms of class schedules and flexibility.,"['unite', 'mostly', 'good', 'lecturer', 'sufficient', 'facility', 'accommodation', 'student', 'lack', 'term', 'class', 'schedule', 'flexibility']","['unite', 'mostly', 'good', 'lecturer', 'sufficient', 'facility', 'accommodation', 'student', 'lack', 'term', 'class', 'schedule', 'flexibility']"
2025/02/10 8:12:13 pm GMT+8,#NAME?,['name'],['name']
2025/02/10 8:13:29 pm GMT+8,I feel neither good nor bad towards UNITEN. There are some aspects that I like such as the courses & syllabuses taught to us students. They are relevant for our future because I’ve used those knowledge during my internship and they were shocked that I know such things. The environment itself is also not bad. Library is comfortable. Classes have full lightings to study in. What I dont like is the lack of concerns towards students’ practicality. Less parking spots. Difficulty to access uniten brighten or any uniten website during the release of examination results. Poor wifi connectivity.,"['feel', 'neither', 'good', 'bad', 'towards', 'united', 'aspect', 'like', 'course', 'syllable', 'teach', 'u', 'student', 'relevant', 'future', 'i', '’', 've', 'use', 'knowledge', 'internship', 'shock', 'know', 'thing', 'environment', 'also', 'bad', 'library', 'comfortable', 'class', 'full', 'light', 'study', 'dont', 'like', 'lack', 'concern', 'towards', 'student', '’', 'practically', 'less', 'park', 'spot', 'difficulty', 'access', 'united', 'brighter', 'unite', 'website', 'release', 'examination', 'result', 'poor', 'wifi', 'connectivity']","['feel', 'neither', 'good', 'bad', 'towards', 'united', 'aspect', 'like', 'course', 'syllable', 'teach', 'u', 'student', 'relevant', 'future', 'i', '’', 've', 'use', 'knowledge', 'internship', 'shock', 'know', 'thing', 'environment', 'also', 'bad', 'library', 'comfortable', 'class', 'full', 'light', 'study', 'dont', 'like', 'lack', 'concern', 'towards', 'student', '’', 'practically', 'less', 'park', 'spot', 'difficulty', 'access', 'united', 'brighter', 'unite', 'website', 'release', 'examination', 'result', 'poor', 'wifi', 'connectivity']"
2025/02/10 8:14:54 pm GMT+8,moderate ,['moderate'],['moderate']
2025/02/10 8:17:27 pm GMT+8,the facilities are not really good,"['facility', 'really', 'good']","['facility', 'really', 'good']"
2025/02/10 8:22:41 pm GMT+8,"UNITEN is a great university. However there are some room of improvements with the issues on accommodations, studies, curriculums and others","['united', 'great', 'university', 'however', 'room', 'improvement', 'issue', 'accommodation', 'study', 'curriculum', 'others']","['united', 'great', 'university', 'however', 'room', 'improvement', 'issue', 'accommodation', 'study', 'curriculum', 'others']"
2025/02/10 9:12:13 pm GMT+8,Student info yg old school.aplikasi student life yg tak funtion.kos bayar mahal tpi ni je dapat,"['student', 'info', 'yg', 'old', 'schoolaplikasi', 'student', 'life', 'yg', 'tak', 'funtionkos', 'bayer', 'medal', 'ti', 'ni', 'je', 'data']","['student', 'info', 'yg', 'old', 'schoolaplikasi', 'student', 'life', 'yg', 'tak', 'funtionkos', 'bayer', 'medal', 'ti', 'ni', 'je', 'data']"
2025/02/10 9:13:11 pm GMT+8,"Saya merasakan uniten perlu improve dari segi system delay mereka dalam aspek student info ia akan mengganggu student untuk akses dalam web itu,Dari aspek kos pendidikan,ia terlalu mahal dan tidak mengikut harga yang di bayar mahal tersebut.Jika servis perkhidmatan pendidikan ia mahal perlulah mengikut prosedur tersebut.Maaf hanya sekadar hujahan sahaja.","['say', 'merasakan', 'united', 'peru', 'improve', 'dari', 'semi', 'system', 'delay', 'merely', 'dalam', 'aspen', 'student', 'info', 'ia', 'aka', 'mengganggu', 'student', 'untuk', 'ai', 'dalam', 'web', 'idari', 'aspen', 'ko', 'pendidikania', 'terlalu', 'medal', 'dan', 'tidal', 'mengikut', 'hara', 'yang', 'di', 'bayer', 'medal', 'tersebutjika', 'serve', 'perkhidmatan', 'pendidikan', 'ia', 'medal', 'perlulah', 'mengikut', 'procedure', 'tersebutmaaf', 'hanja', 'sekadar', 'hujahan', 'sarja']","['say', 'merasakan', 'united', 'peru', 'improve', 'dari', 'semi', 'system', 'delay', 'merely', 'dalam', 'aspen', 'student', 'info', 'ia', 'aka', 'mengganggu', 'student', 'untuk', 'ai', 'dalam', 'web', 'idari', 'aspen', 'ko', 'pendidikania', 'terlalu', 'medal', 'dan', 'tidal', 'mengikut', 'hara', 'yang', 'di', 'bayer', 'medal', 'tersebutjika', 'serve', 'perkhidmatan', 'pendidikan', 'ia', 'medal', 'perlulah', 'mengikut', 'procedure', 'tersebutmaaf', 'hanja', 'sekadar', 'hujahan', 'sarja']"
