username,Past Action,Time,Review,processed
M. Nasution,"Local Guide · 84 reviews · 1,570 photos",3 years ago,"Food is good for dessert
Many choices after 12pm for snack time
Price is moderate (not cheap) …","['food', 'good', 'dessert', 'many', 'choice', 'pm', 'snack', 'time', 'price', 'moderate', 'cheap', '…']"
Muhamad Aizuddin Nazri,Local Guide · 197 reviews · 28 photos,a month ago,Always check their IGs for latest promotion and item,"['always', 'check', 'late', 'promotion', 'item']"
Liza Idayu Zakaria,Local Guide · 22 reviews · 7 photos,4 years ago,"Went there to look for my sons's birthday cake. Ordered pizza choc brownies,macarons,carbonara ramen & aglio olio pasta with bbq lamb. Desserts were tasty,the ramen too..but lamb was a bit too sweet for me. Choice of food is good but need …","['go', 'look', 'song', 'birthday', 'cake', 'order', 'pizza', 'hoc', 'browniesmacaronscarbonara', 'raven', 'also', 'lio', 'pasta', 'bb', 'lamb', 'desserts', 'tastythe', 'raven', 'trout', 'lamb', 'bit', 'sweet', 'choice', 'food', 'good', 'need', '…']"
nurul hanany,8 reviews · 9 photos,4 years ago,Second time buying at this shop since before they moved to new shop. i love all the desserts. But the only thing i dont like is we have to pay for the parking infront the shop and the staff dont tell us about that. Its raining heavily and …,"['second', 'time', 'buying', 'shop', 'since', 'move', 'new', 'shop', 'love', 'dessert', 'thing', 'dont', 'like', 'pay', 'park', 'front', 'shop', 'staff', 'dont', 'tell', 'u', 'rain', 'heavily', '…']"
Tan Ying Ying,23 reviews,2 years ago,"They dont like it if you give bad feedback/review. If you said you dont like the taste of their food, they will attack and blame you back. I was shocked. I had their brownies and commented on their facebook saying that it was too sweet for …","['dont', 'like', 'give', 'bad', 'feedbackreview', 'say', 'dont', 'like', 'taste', 'food', 'attack', 'blame', 'back', 'shock', 'brownish', 'comment', 'facebook', 'say', 'sweet', '…']"
onnineshopping 1,Local Guide · 11 reviews · 3 photos,10 months ago,This shop buy reviews via Facebook group 👌 i saw them offering RM2 per reviews. (5star review) …,"['shop', 'buy', 'review', 'via', 'facebook', 'group', 'saw', 'offer', 'rm', 'per', 'review', 'star', 'review', '…']"
RMR,Local Guide · 35 reviews · 174 photos,5 years ago,Lovely desert. Worth the time and money.,"['lovely', 'desert', 'worth', 'time', 'money']"
nour fitri,3 reviews · 1 photo,2 years ago,"Not recommended for those who like to eat western cuisine. sorry to say. Yes you are the best when it’s all about a dessert. I ordered family set of western dish just now which contains of a few of meat, fish fillet (3 thin slices), chicken …","['recommend', 'like', 'eat', 'western', 'cuisine', 'sorry', 'say', 'yes', 'best', 'it', '’', 's', 'dessert', 'order', 'family', 'set', 'western', 'dish', 'contains', 'meat', 'fish', 'fill', 'thin', 'slice', 'chicken', '…']"
Deen Kim,Local Guide · 56 reviews · 56 photos,a year ago,Yea all good but i hope they make improvement towards take away packaging cuz its hard for the rider to bring it on the way. 100% would spill and wasted.,"['yea', 'good', 'hope', 'make', 'improvement', 'towards', 'take', 'away', 'package', 'cup', 'hard', 'rider', 'bring', 'way', 'would', 'spill', 'waste']"
Izzi 143,Local Guide · 10 reviews · 16 photos,4 years ago,"Desserts are wonderful
Ordered the grilled chicken burger cheese. Chicken was amazing but the bread was hard, difficult to cut & bite into. Its supposed to be toasted and crunchy. …","['dessert', 'wonderful', 'order', 'grilled', 'chicken', 'burger', 'cheese', 'chicken', 'amaze', 'bread', 'hard', 'difficult', 'cut', 'bite', 'suppose', 'boast', 'crunch', '…']"
Hafiz Hussin,"Local Guide · 485 reviews · 2,117 photos",4 years ago,"Newest craze in town. Sweet tooth lover will be suprised by all the variety brownies, cakes and chocolate sweet. The place quite small but the big winner is their dessert. Well done to all the staff and owner. Keep it up!","['new', 'craze', 'town', 'sweet', 'tooth', 'lover', 'surprise', 'variety', 'brownish', 'cake', 'chocolate', 'sweet', 'place', 'quite', 'small', 'big', 'winner', 'dessert', 'well', 'do', 'staff', 'owner', 'keep']"
muhd al-wafi,18 reviews · 4 photos,a year ago,"So sweetttt , literallyyyy but the place is aesthetic and well kept cleaned... Keep up the good workkk guyss","['sweetttt', 'literallyyyy', 'place', 'aesthetic', 'well', 'keep', 'cleaned', 'keep', 'good', 'work', 'guess']"
muhammad rodi,Local Guide · 60 reviews · 62 photos,4 years ago,The desserts is great but the Q is time consuming.,"['dessert', 'great', 'q', 'time', 'consume']"
fatimah,8 reviews,2 years ago,one of the staff yell and shout at me “nak yang mana??!!!!”  very rude men staff.,"['one', 'staff', 'yell', 'shout', '“', 'nak', 'yang', 'mana', '”', 'rude', 'men', 'staff']"
Yu아이유,Local Guide · 47 reviews · 254 photos,2 months ago,Alhamdulillah I've been craving for a long time and finally got it. It's close to my sister-in-law's house. 3 minutes by car. But it's so much fun that I don't have time to go to Selayang. This time it's so …,"['alhamdulillah', 'crave', 'long', 'time', 'finally', 'get', 'close', 'sisterinlaws', 'house', 'minute', 'car', 'much', 'fun', 'time', 'go', 'delaying', 'time', '…']"
Lailahusna,Local Guide · 7 reviews · 20 photos,2 months ago,"Overall, everything I ordered was delicious. But the place to dine in is hot when there are many people. I feel very uncomfortable eating. The ice cream is delicious, the bucket cookies are delicious, the croissants are crazy crunchy and …","['overall', 'everything', 'order', 'delicious', 'place', 'dine', 'hot', 'many', 'people', 'feel', 'uncomfortable', 'eating', 'ice', 'cream', 'delicious', 'bucket', 'cooky', 'delicious', 'croissant', 'crazy', 'crunch', '…']"
Ana Farhana,Local Guide · 48 reviews · 132 photos,3 months ago,"Parking can be parked at the Ground Level (paid parking)

The queue to enter the store is long but fast, within an hour you can order and …","['park', 'park', 'ground', 'level', 'pay', 'park', 'queue', 'enter', 'store', 'long', 'fast', 'within', 'hour', 'order', '…']"
zamira zamira,6 reviews · 17 photos,2 months ago,"For sweet lovers, this is heaven😋.. And for those who are sick, the sugar factory is already in the body to make it taste, God willing... there are other foods too. Follow your own taste …","['sweet', 'lover', 'heaven', 'sick', 'sugar', 'factory', 'already', 'body', 'make', 'taste', 'god', 'willing', 'food', 'follow', 'taste', '…']"
Siti Zainab,Local Guide · 15 reviews · 6 photos,3 months ago,"First time going to a cafe like dessert @ Selayang

- location is ok, easy to find …","['first', 'time', 'go', 'cafe', 'like', 'dessert', 'delay', 'location', 'ok', 'easy', 'find', '…']"
Nadhirah,Local Guide · 128 reviews · 629 photos,3 months ago,"First time rasa during the new year event at The Curve.

How to order using paper, queue, pay, get an order 'ticket', pick up food at the …","['first', 'time', 'nasa', 'new', 'year', 'event', 'curve', 'order', 'use', 'paper', 'queue', 'pay', 'get', 'order', 'ticket', 'pick', 'food', '…']"
Ashraff Kamal,Local Guide · 7 reviews · 34 photos,6 months ago,I don't know what the Suka Dessert management system is like.... Dizziness! Whoever comes for the first time must jam. …,"['know', 'ska', 'dessert', 'management', 'system', 'like', 'dizziness', 'whoever', 'come', 'first', 'time', 'must', 'jam', '…']"
Fadzreena Myra,Local Guide · 139 reviews · 662 photos,a month ago,"queuing for 1 hour 30 min for sukadessert, all the food is cold huhuhu, buy croissants and hot chocolate are not even hot 😭 cake in bowl is delicious but a little sweet …","['quote', 'hour', 'min', 'sukadessert', 'food', 'cold', 'huhuhu', 'buy', 'croissant', 'hot', 'chocolate', 'even', 'hot', 'cake', 'bowl', 'delicious', 'little', 'sweet', '…']"
noredayu ariff,11 reviews · 16 photos,2 months ago,"Since I took care of him at Selayang Hospital for 12 days. I came here 6 times. So far I will come in the middle of the night because I don't Q. Today is a little frustrating. Because the staff is not very friendly, maybe they are tired. …","['since', 'take', 'care', 'delay', 'hospital', 'day', 'come', 'times', 'far', 'come', 'middle', 'night', 'q', 'today', 'little', 'frustrating', 'staff', 'friendly', 'maybe', 'tired', '…']"
Ra Deans,4 reviews · 13 photos,a month ago,I'm here for syahbuna to buy cookies that my mother sent for Raya.. My fortune is early.. Because I don't need it.. But there's a lot of people in the store.. I'm in charge of the store.. Pergghh.. Pjg q until the end.. …,"['syahbuna', 'buy', 'cooky', 'mother', 'sent', 'ray', 'fortune', 'early', 'need', 'there', 'lot', 'people', 'store', 'charge', 'store', 'pergghh', 'pg', 'q', 'end', '…']"
Mr Anwar,Local Guide · 146 reviews · 529 photos,5 months ago,"Hot stuff. As early as 9am, people are already making arrangements for the weekend. At the set time, everyone at the door will be divided into groups. Kat in there are 2 lines. 1 for snacks. And 1 more for hot items cake in bowl and croisant. Lots of staff. Don't worry. Keep it up.","['hot', 'stuff', 'early', 'people', 'already', 'make', 'arrangement', 'weekend', 'set', 'time', 'everyone', 'door', 'divide', 'group', 'kat', 'line', 'snack', 'hot', 'item', 'cake', 'bowl', 'croisant', 'lots', 'staff', 'worry', 'keep']"
Alham Hanani,Local Guide · 25 reviews · 347 photos,3 months ago,"Alhamdulillah, no longer craving after years of trying to like dessert since my aunty does business at home. Fast service, desserts are all delicious for chocolate lovers. Yeayy, love it!! ❤️","['alhamdulillah', 'longer', 'crave', 'year', 'try', 'like', 'dessert', 'since', 'aunt', 'business', 'home', 'fast', 'service', 'desserts', 'delicious', 'chocolate', 'lover', 'year', 'love']"
Micah abd rashid,Local Guide · 46 reviews · 114 photos,2 months ago,"To buy dessert, we arrived at 9.50, people lined up long enough. We arrived on Sunday. We waited outside for 30 minutes, when we got in here we waited in line for another 20 minutes.. so if we want to dine in, we will wait until 12 before …","['buy', 'dessert', 'arrived', 'people', 'line', 'long', 'enough', 'arrive', 'sunday', 'wait', 'outside', 'minute', 'get', 'waited', 'line', 'another', 'minute', 'want', 'dine', 'wait', '…']"
Mell Eusoffe,"Local Guide · 343 reviews · 1,000 photos",4 months ago,Overall it's okay..go on a normal day so there's no need to queue. The system is smooth. Maybe because there are not many people. Her dessert is okay.. you can.. …,"['overall', 'okay', 'normal', 'day', 'there', 'need', 'queue', 'system', 'smooth', 'maybe', 'many', 'people', 'dessert', 'okay', '…']"
taufiqs,Local Guide · 70 reviews · 142 photos,6 months ago,"how do you say bro...I came from JB straight to the untieja store...as a fan of sweets and chocolate, I feel that the chocolate used is just the same 😅...why does my throat tell me it tastes the same as cadbury? why?!😭…..the one on the menu …","['say', 'bros', 'come', 'jb', 'straight', 'untieja', 'store', 'fan', 'sweet', 'chocolate', 'feel', 'chocolate', 'use', 'throat', 'tell', 'taste', 'cadbury', 'why…the', 'one', 'menu', '…']"
N,Local Guide · 37 reviews · 2 photos,4 months ago,"Soup is not clear. Before Aunty Ja wants to expand her business, fix all this first. …","['soup', 'clear', 'aunt', 'ja', 'want', 'expand', 'business', 'fix', 'first', '…']"
nurul shafika,2 reviews · 3 photos,4 months ago,"For my throat, strawberry chocolate with oval cookies is really delicious. The others are normal.
1st point. The system is bad, there is no signboard where to queue to dine in. …","['throat', 'strawberry', 'chocolate', 'oval', 'cooky', 'really', 'delicious', 'others', 'normal', 'st', 'point', 'system', 'bad', 'signboard', 'queue', 'dine', '…']"
Amirul Mubin,Local Guide · 84 reviews · 36 photos,2 months ago,"- when it comes to weekend or PH, it's really long, but not long in 10-15 minutes. if you dine in, you can enter soon
- the shop is a bit narrow because there are so many people, but the counter is …","['come', 'weekend', 'ph', 'really', 'long', 'long', 'minute', 'dine', 'enter', 'soon', 'shop', 'bit', 'narrow', 'many', 'people', 'counter', '…']"
Jeff Fakhrurrazi,Local Guide · 97 reviews · 328 photos,6 months ago,"Super long queue, food is okay. It's not crazy good. I don't know what the hype is about long queues like this. Can't find it anywhere close. Some are good, some are average. Cake a big no. …","['super', 'long', 'queue', 'food', 'okay', 'crazy', 'good', 'know', 'hype', 'long', 'queue', 'like', 'can', 'not', 'find', 'anywhere', 'close', 'good', 'average', 'cake', 'big', '…']"
siti hajar ibrahim,2 reviews · 4 photos,4 months ago,"It's almost half an hour to queue because I'm going fast, I'm lucky to be able to park in front of the shop because in front of it, everyone really likes dessert parking","['almost', 'half', 'hour', 'queue', 'go', 'fast', 'lucky', 'able', 'park', 'front', 'shop', 'front', 'everyone', 'really', 'like', 'dessert', 'parking']"
Chek Piah,Local Guide · 8 reviews · 27 photos,3 months ago,"Alhamdulillah there weren't many people at the time of going because the elementary school had an event that day. So go ahead and grab it, for me, this B40 really likes it when I try it for the first time, it's really good. But the soft …","['alhamdulillah', 'many', 'people', 'time', 'go', 'elementary', 'school', 'event', 'day', 'go', 'ahead', 'grab', 'b', 'really', 'like', 'try', 'first', 'time', 'really', 'good', 'soft', '…']"
nur fatin fatiha,Local Guide · 23 reviews · 239 photos,6 months ago,SD need to pay ID for the layout of the sales shop concept; the dining room where you pay... xde menu price so 2 start sorry yes 💔 can you change the way to take the order like in the boat noodle shop put the menu list price so don't need …,"['sd', 'need', 'pay', 'id', 'layout', 'sale', 'shop', 'concept', 'din', 'room', 'pay', 'de', 'menu', 'price', 'start', 'sorry', 'yes', 'change', 'way', 'take', 'order', 'like', 'boat', 'noodle', 'shop', 'put', 'menu', 'list', 'price', 'need', '…']"
NUR HAMEEZAH RADUAN,Local Guide · 11 reviews · 15 photos,3 months ago,"It's a haunted store.. If you come once, you'll definitely want to come again.. Go back home, tringat² mknn SD.. X can move on.. It's right.. More hot chocolate.. It's right. .❤️❤️","['haunt', 'store', 'come', 'definitely', 'want', 'come', 'go', 'back', 'home', 'tright²', 'mann', 'sd', 'x', 'move', 'right', 'hot', 'chocolate', 'right']"
May Ra,11 reviews · 29 photos,8 months ago,"Love dessert @ big food festival teluk intan perak. July 14, 2024 (Sunday)
Sorry to say all the food is sweet. The ratio of ingredients is not balanced. First and after taste sweet to the point of nausea. I bought crunchy, cake in …","['love', 'dessert', 'big', 'food', 'festival', 'taluk', 'peak', 'july', 'sunday', 'sorry', 'say', 'food', 'sweet', 'ratio', 'ingredient', 'balance', 'first', 'taste', 'sweet', 'point', 'nausea', 'buy', 'crunch', 'cake', '…']"
Shaidatul Anniesa Asyiqin,6 reviews · 2 photos,2 months ago,I used to queue up to 2 hours but now less than 30mins I can get in & buy desserts!! they had improved by having 2 counters for payment & the waiting time has reduced.. all the desserts are delicious because of the premium chocolate!!! …,"['use', 'queue', 'hour', 'less', 'min', 'get', 'buy', 'dessert', 'improve', 'counter', 'payment', 'wait', 'time', 'reduce', 'dessert', 'delicious', 'premium', 'chocolate', '…']"
Altamis Arshyad,Local Guide · 19 reviews · 96 photos,4 months ago,Long line. The entry system is not clear. The guard does not know when to let customers in. I came because I didn't have time that day during the Sabah Food Fest. Too much time to enjoy the ambience because it's too crowded.,"['long', 'line', 'entry', 'system', 'clear', 'guard', 'know', 'let', 'customer', 'come', 'time', 'day', 'sabah', 'food', 'fest', 'much', 'time', 'enjoy', 'audience', 'crowd']"
Alya Yazid,Local Guide · 37 reviews · 79 photos,5 months ago,"Dessert heaven, rambang mata... delicious, really sweet like chocolate, if you don't want sweet eat coffee.. her food is ok, sdp, pna eat aglio olio chicken grill, mac n cheese.. recommended..","['dessert', 'heaven', 'rampant', 'mata', 'delicious', 'really', 'sweet', 'like', 'chocolate', 'want', 'sweet', 'eat', 'coffee', 'food', 'ok', 'sdp', 'na', 'eat', 'also', 'lio', 'chicken', 'grill', 'mac', 'n', 'cheese', 'recommend']"
Ery NFQ,"Local Guide · 451 reviews · 1,066 photos",5 months ago,"I had time to repeat at the Sabah Food Fest, we came straight to the shop...","['time', 'repeat', 'sabah', 'food', 'fest', 'come', 'straight', 'shop']"
Balqis Zaki,5 reviews · 5 photos,6 months ago,"The desserts are all good enough, the only thing missing is the fnb part, he's really K.O. The price is expensive but the quantity is small. One of them, this corndog with wind filling is only rm13 for full mozzarella cheese but we don't …","['dessert', 'good', 'enough', 'thing', 'miss', 'nb', 'part', 'really', 'ko', 'price', 'expensive', 'quantity', 'small', 'one', 'condo', 'wind', 'fill', 'rm', 'full', 'mozzarella', 'cheese', '…']"
Zailatul Zuhairah,1 review · 1 photo,3 months ago,"for me dessert, he's normal, and I just eat a mouthful. long queues for service out. The workers didn't even smile, they asked why they didn't know. His chocolate tastes normal, it's just too sweet to swallow. 70% cookies are delicious, but whatever, first n last to go.","['dessert', 'normal', 'eat', 'youthful', 'long', 'queues', 'service', 'worker', 'even', 'smile', 'ask', 'know', 'chocolate', 'taste', 'normal', 'sweet', 'swallow', 'cooky', 'delicious', 'whatever', 'first', 'n', 'last', 'go']"
Miss siti,7 reviews · 7 photos,2 weeks ago,"Next time, if the limited item is sold out, let us know in advance, so people can decide to continue queuing to buy something else. It's stupid, it took me a long time to stand until the last cheese cake ran out. With the rain until my back …","['next', 'time', 'limited', 'item', 'sell', 'let', 'u', 'know', 'advance', 'people', 'decide', 'continue', 'quote', 'buy', 'something', 'else', 'stupid', 'take', 'long', 'time', 'stand', 'last', 'cheese', 'cake', 'run', 'rain', 'back', '…']"
Fazliaza Mohamad Arif,Local Guide · 182 reviews · 24 photos,6 months ago,"It's really all chocolate here. I'm not a fan of sweets, here most of the cookies are nice and sweet. not very sweet everything is delicious. the sweetest for me is the cake in the bowl. …","['really', 'chocolate', 'fan', 'sweet', 'cookies', 'nice', 'sweet', 'sweet', 'everything', 'delicious', 'sweet', 'cake', 'bowl', '…']"
Nur Syahirah binti Mohamad,6 reviews · 9 photos,4 months ago,Bucket cookies are the best. Buy size M. It's true that SD has a lot. The lid is not closed. You can repeat buying these cookies. Cake in a bowl is the best. But it's really super sweet. Do not eat alone. Please share.,"['bucket', 'cooky', 'best', 'buy', 'size', 'true', 'sd', 'lot', 'lid', 'close', 'repeat', 'buying', 'cooky', 'cake', 'bowl', 'best', 'really', 'super', 'sweet', 'eat', 'alone', 'please', 'share']"
nadia bintangsukebiru,2 reviews · 4 photos,a month ago,Delicious. There was a long queue but I didn't have to wait very long. Overall satisfied again with his chocolate coated strawberries.,"['delicious', 'long', 'queue', 'wait', 'long', 'overall', 'satisfied', 'chocolate', 'coat', 'strawberry']"
aqil amin,Local Guide · 19 reviews,a month ago,"false marketing, I'll fix it here

The price is not expensive because of the premium ingredients, it is expensive …","['false', 'marketing', 'fix', 'price', 'expensive', 'premium', 'ingredient', 'expensive', '…']"
Nurul Fadhillah,2 reviews · 4 photos,a year ago,"The price is a bit pricey but after trying to eat, the price becomes normal because the chocolate used is really premium. It's just better if there are 2 cashiers during the event. Because the fast line cashier is a regular line.. so, the …","['price', 'bit', 'price', 'try', 'eat', 'price', 'becomes', 'normal', 'chocolate', 'use', 'really', 'premium', 'well', 'cashier', 'event', 'fast', 'line', 'cashier', 'regular', 'line', '…']"
Syafiqah Zehar,Local Guide · 9 reviews · 21 photos,a year ago,"Parking: the upstairs is full, but don't worry, downstairs is available, you just have to pay …","['park', 'upstairs', 'full', 'worry', 'downstairs', 'available', 'pay', '…']"
Asywal Dzulkafly,Local Guide · 23 reviews · 29 photos,a year ago,"First time dining in, a bit blurry how to order, went straight to the table to scan the QR but saw that dessert was not on the menu, had to order from the front. So I got up to order but the staff didn't even ask if I wanted to dine in or …","['first', 'time', 'din', 'bit', 'blurry', 'order', 'go', 'straight', 'table', 'scan', 'qr', 'saw', 'dessert', 'menu', 'order', 'front', 'get', 'order', 'staff', 'even', 'ask', 'want', 'dine', '…']"
nur fazilla,Local Guide · 18 reviews · 28 photos,6 months ago,"no hate feeling, this is just a personal opinion 😊 and I'm really a sweet/dessert fan …","['hate', 'feel', 'personal', 'opinion', 'really', 'sweetdessert', 'fan', '…']"
hazim jasman,53 reviews · 65 photos,7 months ago,"The food is okay, he's pushing the quality, right? Hence the price is a bit higher than usual. If you want to come, it's better to bring a bag so you can taste it if you don't feel sick because it's too sweet. Unless you like chocolate …","['food', 'okay', 'push', 'quality', 'right', 'hence', 'price', 'bit', 'high', 'usual', 'want', 'come', 'well', 'bring', 'bag', 'taste', 'feel', 'sick', 'sweet', 'unless', 'like', 'chocolate', '…']"
Jay,Local Guide · 40 reviews · 37 photos,4 months ago,It's delicious.. everything is sweet ting ting. There is a toilet. Even the cafe is cold with air conditioning. Can he come and make something? Fast service.,"['delicious', 'everything', 'sweet', 'ting', 'ting', 'toilet', 'even', 'cafe', 'cold', 'air', 'condition', 'come', 'make', 'something', 'fast', 'service']"
Aishah Azli,Local Guide · 83 reviews · 36 photos,2 months ago,"Clean shop, delicious desserts. Only the price is a little expensive. Controversial ice cream is delicious.","['clean', 'shop', 'delicious', 'dessert', 'price', 'little', 'expensive', 'controversial', 'ice', 'cream', 'delicious']"
Mama Auf,2 reviews · 2 photos,3 weeks ago,"spend up to 270 to buy something, cake in a bowl is not the best.. I'm sick of it.. ermmm, I don't want to regret it, I don't use it.. reviews like this.. even if I want to wrap a croissant, the staff won't give me fear of getting angry.. I …","['spend', 'buy', 'something', 'cake', 'bowl', 'best', 'sick', 'emmy', 'want', 'regret', 'use', 'review', 'like', 'even', 'want', 'wrap', 'croissant', 'staff', 'give', 'fear', 'get', 'angry', '…']"
Nabilah Mohd Fadzail,Local Guide · 125 reviews · 306 photos,a week ago,"Craving satisfied..... Sugar Rush! Half of it brought back, oval cookies untouched.... Luckily the icecream ran out of time... If not, I don't know..... …","['crave', 'satisfied', 'sugar', 'rush', 'half', 'bring', 'back', 'oval', 'cooky', 'untouched', 'lucky', 'icecream', 'run', 'time', 'know', '…']"
Putri Haris,4 reviews · 2 photos,9 months ago,"order had to wait over an hour because you forgot to make our food. food presentation also ran. taste food again he ran away. for the dessert, I'm not really interested in the chocolate, it's sweet and tastes like Cadbury chocolate. maybe …","['order', 'wait', 'hour', 'forget', 'make', 'food', 'food', 'presentation', 'also', 'run', 'taste', 'food', 'run', 'away', 'dessert', 'really', 'interested', 'chocolate', 'sweet', 'taste', 'like', 'cadbury', 'chocolate', 'maybe', '…']"
Alieya Norhaliyati,10 reviews · 4 photos,7 months ago,"I repeat the cake in bowl many times, I actually like that it has chocolate on the top 😅 this cake is honest, the bottom cake is just plain, it's not good, the good thing is the abundant chocolate.. the chocolate tart is delicious.. the rest is just plain... it's okay if you want to repeat it to get rid of chocolate cravings.. …","['repeat', 'cake', 'bowl', 'many', 'time', 'actually', 'like', 'chocolate', 'top', 'cake', 'honest', 'bottom', 'cake', 'plain', 'good', 'good', 'thing', 'abundant', 'chocolate', 'chocolate', 'tart', 'delicious', 'rest', 'plain', 'okay', 'want', 'repeat', 'get', 'rid', 'chocolate', 'carving', '…']"
Suhaimi Mahdi,2 reviews · 2 photos,2 months ago,"The line is crazy slow, 1 person takes 25 minutes for the next customers to enter. Improve the flow a little.","['line', 'crazy', 'slow', 'person', 'take', 'minute', 'next', 'customer', 'enter', 'improve', 'flow', 'little']"
MoonLight,Local Guide · 41 reviews · 153 photos,a year ago,"It's delicious 😭 I really like to buy dessert here. But as usual there are a lot of people. If so, we would like to suggest to those who are asking for a waiter to take the order so that the person who just wants to take away can choose the …","['delicious', 'really', 'like', 'buy', 'dessert', 'usual', 'lot', 'people', 'would', 'like', 'suggest', 'ask', 'waiter', 'take', 'order', 'person', 'want', 'take', 'away', 'choose', '…']"
Sha Reservatur,Local Guide · 96 reviews · 136 photos,6 months ago,"Another person's tongue is different.
It also feels different. …","['another', 'person', 'tongue', 'different', 'also', 'feel', 'different', '…']"
iffa yasmin,4 reviews · 7 photos,2 months ago,Worth it every dessert for the price! all delicious. Definitely would repeat many times,"['worth', 'every', 'dessert', 'price', 'delicious', 'definitely', 'would', 'repeat', 'many', 'time']"
AZMI SARING,Local Guide · 23 reviews · 71 photos,4 months ago,"Many options of deserts are provided.
Interesting place and easy to find but car parking is hard to find.","['many', 'option', 'desert', 'provide', 'interesting', 'place', 'easy', 'find', 'car', 'park', 'hard', 'find']"
qwetzy,Local Guide · 61 reviews · 186 photos,8 months ago,"It's so sad that there's a menu that's close to the event, we came here because we want that thing 😭 we came from far away just to like dessert but there's no dessert :) we can get cromboloni and feel like there's a long line to like …","['sad', 'there', 'menu', 'close', 'event', 'come', 'want', 'thing', 'come', 'far', 'away', 'like', 'dessert', 'there', 'dessert', 'get', 'cromboloni', 'feel', 'like', 'there', 'long', 'line', 'like', '…']"
shazleen nurain,Local Guide · 45 reviews · 146 photos,a year ago,"His dessert has many choices.
It's quite affordable and you'll mostly be blindfolded because all the desserts are beautiful 🤣 …","['dessert', 'many', 'choice', 'quite', 'affordable', 'mostly', 'blindfold', 'dessert', 'beautiful', '…']"
Scha A,Local Guide · 26 reviews · 48 photos,a year ago,"Depends on your luck, sometimes a lot of people in this area get regular extensions outside. Sometimes not.
The dessert is sweet for me personally. Like Elysium cake. It really has sweet …","['depends', 'luck', 'sometimes', 'lot', 'people', 'area', 'get', 'regular', 'extension', 'outside', 'sometimes', 'dessert', 'sweet', 'personally', 'like', 'elysium', 'cake', 'really', 'sweet', '…']"
Farra Izwanie,5 reviews · 6 photos,10 months ago,"taste wise too sweet but delicious taste of expensive chocolate. the price is expensive 😆 if you want to come with your best friends, you can share. I won't repeat because it's far away (putrajaya > selayang) and in my opinion if you're …","['taste', 'wise', 'sweet', 'delicious', 'taste', 'expensive', 'chocolate', 'price', 'expensive', 'want', 'come', 'best', 'friend', 'share', 'repeat', 'far', 'away', 'putrajaya', 'delay', 'opinion', '…']"
nisa kardry,Local Guide · 7 reviews · 28 photos,8 months ago,"The desserts' lover will like it. For me, just bias. Anyone can try it. If you go during non-peak times, you won't be disappointed if the taste doesn't meet the standards.","['dessert', 'lover', 'like', 'bias', 'anyone', 'try', 'go', 'nonpeak', 'time', 'disappointed', 'taste', 'meet', 'standard']"
Izzati Izyani Japar,Local Guide · 81 reviews · 40 photos,a year ago,"I like going to this place because the food can be taken away (ready-to-eat), no need to sit down. The price is reasonable, not too cheap but not too expensive. Chocojar I bought for RM18. The chocolate used is of high quality, so chocolate …","['like', 'go', 'place', 'food', 'take', 'away', 'readytoeat', 'need', 'sit', 'price', 'reasonable', 'cheap', 'expensive', 'chocojar', 'buy', 'rm', 'chocolate', 'use', 'high', 'quality', 'chocolate', '…']"
Ica Cacaca,2 reviews · 1 photo,2 weeks ago,"Too lazy to wait, things are over
When I bought at sd hq, the dessert I bought was not enough, when I got home I noticed there were no soft cookies …","['lazy', 'wait', 'thing', 'buy', 'sd', 'hq', 'dessert', 'buy', 'enough', 'get', 'home', 'notice', 'soft', 'cooky', '…']"
lynn hashim,Local Guide · 26 reviews · 4 photos,a year ago,"I have come 10 times, everything is okay.. the waiting time is long if you want to come eat.
The only issue is the payment chapter, it's a bit annoying.. when you take the …","['come', 'time', 'everything', 'okay', 'wait', 'time', 'long', 'want', 'come', 'eat', 'issue', 'payment', 'chapter', 'bit', 'annoy', 'take', '…']"
Jo Jo,Local Guide · 82 reviews · 18 photos,2 months ago,"Since the virus is coming, it must be a long time.  The whites of the eyes go far, end up back to empty.  Huhu nway, the food here is really good.  Who doesn't like chocolate?  Hehe","['since', 'virus', 'come', 'must', 'long', 'time', 'white', 'eye', 'go', 'far', 'end', 'back', 'empty', 'huh', 'way', 'food', 'really', 'good', 'like', 'chocolate']"
fatinnabilahsr,8 reviews · 33 photos,a year ago,Delicious dessert. I really like Callebaut's dark chocolate sauce and his biscoff sauce because it's not too sweet. Baby pancakes are very tasty. Chocolate n fruit coated marshmallows are delicious. His savory food is not bad. Alhamdulillah …,"['delicious', 'dessert', 'really', 'like', 'callebauts', 'dark', 'chocolate', 'sauce', 'biscoff', 'sauce', 'sweet', 'baby', 'pancake', 'tasty', 'chocolate', 'n', 'fruit', 'coat', 'marshmallow', 'delicious', 'story', 'food', 'bad', 'alhamdulillah', '…']"
Ika Amran,6 reviews · 4 photos,9 months ago,"First time coming from Melaka because I really want to taste cake in a bowl. Queuing for take away for almost 1 hour to get an order. In my personal opinion, the chocolate on the cake is too sweet. Bucket cookies are ok, they taste good. …","['first', 'time', 'come', 'malaga', 'really', 'want', 'taste', 'cake', 'bowl', 'quote', 'take', 'away', 'almost', 'hour', 'get', 'order', 'personal', 'opinion', 'chocolate', 'cake', 'sweet', 'bucket', 'cooky', 'ok', 'taste', 'good', '…']"
