username,Past Action,Time,Review,processed
Ayu Rohayu,Local Guide · 46 reviews · 55 photos,2 years ago,"Dessert tak perlu cerita lagi.mmg sedap. Sekali gigit cheese tart and pavlova terus ke awan, bt teringat2. Sadly the main dishes are quite overpriced compared to what they served. I failed to take a photo because we are so hungryyy..haha. …","['dessert', 'tak', 'peru', 'berita', 'lagimmg', 'sedan', 'seal', 'digit', 'cheese', 'tart', 'pavlova', 'term', 'ke', 'away', 'bt', 'teringat', 'sadly', 'main', 'dish', 'quite', 'overprice', 'compare', 'serve', 'failed', 'take', 'photo', 'hungryyyhaha', '…']"
aireen azwan,Local Guide · 14 reviews · 12 photos,a week ago,"Good chocolates , lovvveeeee going here. Much love to aunty ja ,  100% would go here anytime I could","['good', 'chocolate', 'lovvveeeee', 'go', 'much', 'love', 'aunt', 'ja', 'would', 'go', 'anytime', 'could']"
nuraimi A.,Local Guide · 70 reviews · 44 photos,2 years ago,"cosy ambiance..heaven for dessertholics and chocoholics 😆 they have other menus such ramen, rice and corndog/dough too..and also plenty choices of drink..be prepared of long queue if you come in the weekend …","['copy', 'ambianceheaven', 'dessertholics', 'chocoholics', 'menu', 'raven', 'rice', 'corndogdough', 'toward', 'also', 'plenty', 'choice', 'drink', 'prepared', 'long', 'queue', 'come', 'weekend', '…']"
Hanna Loi,Local Guide · 162 reviews · 205 photos,10 months ago,Great place for dessert! But Im not gonna queue up for 2 hours in the morning again 😭 …,"['great', 'place', 'dessert', 'im', 'gon', 'na', 'queue', 'hour', 'morning', '…']"
Ili Nadia,8 reviews · 3 photos,a year ago,"The service was very rude and bad. I waited in line when the place is full - this one I understand. But when it is empty (see picture attached), I went in and the guy asked “siapa suruh masuk?” So rudely. Then I said dah kosong, he still …","['service', 'rude', 'bad', 'wait', 'line', 'place', 'full', 'one', 'understand', 'empty', 'see', 'picture', 'attach', 'go', 'guy', 'ask', '“', 'shape', 'mask', '”', 'widely', 'say', 'dah', 'song', 'still', '…']"
Aina Nasuha,3 reviews · 4 photos,a year ago,"I’m sorry Aunty Ja, your dessert was superb delicious but I really get frustrated with your girl staff who in charge for the strawberry cheese in cup on the day i came. …","['i', '’', 'm', 'sorry', 'aunt', 'ja', 'dessert', 'superb', 'delicious', 'really', 'get', 'frustrated', 'girl', 'staff', 'charge', 'strawberry', 'cheese', 'cup', 'day', 'come', '…']"
Aween Wanie,Local Guide · 12 reviews · 15 photos,3 years ago,"i love the egg tart and the drinks. waffle tu 50/50, cause the waffle mix rasa plain. but A+ for the topping. had to que sebab viral kat tiktok. …","['love', 'egg', 'tart', 'drink', 'baffle', 'tu', 'cause', 'baffle', 'mix', 'nasa', 'plain', 'top', 'que', 'kebab', 'viral', 'kat', 'tiktok', '…']"
rosita8 abdullah,1 review,10 months ago,"Parking is difficult. If park outside along the road, be prepared to pay summon.
A long queue outside the shop and the queue continues inside. It took 45mins …","['park', 'difficult', 'park', 'outside', 'along', 'road', 'prepared', 'pay', 'summon', 'long', 'queue', 'outside', 'shop', 'queue', 'continue', 'inside', 'take', 'min', '…']"
fatin Affini,Local Guide · 52 reviews · 197 photos,3 years ago,Dessert and beverage is super delicious. We go at night after iftar. Suitable for those want to ootd at here.,"['dessert', 'beverage', 'super', 'delicious', 'go', 'night', 'suitable', 'want', 'otd']"
baby roses,Local Guide · 43 reviews · 20 photos,8 months ago,The dessert was so nice. My fav all times oval cookies & their brownies..  i was desperately waiting for chocstick cookies in box with pistachio sauce but the cookies always out of stock. the queue for entering shop is always long but once u enter its doesn't matter.,"['dessert', 'nice', 'far', 'time', 'oval', 'cooky', 'brownish', 'desperately', 'wait', 'chocstick', 'cooky', 'box', 'pistachio', 'sauce', 'cooky', 'always', 'stock', 'queue', 'enter', 'shop', 'always', 'long', 'u', 'enter', 'matter']"
